x,y,z,yaw,velocity,change_flag
-14861.1338,-84712.3516,40.1241,-2.8038,21.5937,0
-14862.5107,-84712.8359,40.1565,-2.8021,28.9570,0
-14863.8262,-84713.2734,40.1642,-2.8010,26.7088,0
-14865.3096,-84713.7969,40.1799,-2.8009,27.2346,0
-14866.6230,-84714.2422,40.2090,-2.8008,22.9703,0
-14867.9707,-84714.7031,40.2343,-2.8004,28.1350,0
-14869.4072,-84715.2188,40.2468,-2.7997,33.8218,0
-14870.7656,-84715.6953,40.2821,-2.7980,25.3975,0
-14872.1895,-84716.1953,40.3219,-2.7967,25.7165,0
-14873.5361,-84716.6484,40.3514,-2.7961,25.7694,0
-14874.9180,-84717.1328,40.3560,-2.7959,28.7598,0
-14876.2598,-84717.6016,40.3740,-2.7956,25.6710,0
-14877.6260,-84718.0703,40.4163,-2.7960,25.5510,0
-14878.9355,-84718.5469,40.4338,-2.7966,26.0163,0
-14880.3486,-84719.0234,40.4265,-2.7975,27.1842,0
-14881.7354,-84719.5078,40.4623,-2.7990,28.9859,0
-14883.1787,-84720.0234,40.4983,-2.8003,27.4684,0
-14884.4932,-84720.4922,40.5086,-2.8021,30.0186,0
-14885.7734,-84720.9141,40.5271,-2.8025,19.5886,0
-14887.3428,-84721.4688,40.5536,-2.8026,27.9266,0
-14888.6641,-84721.9141,40.5660,-2.8025,25.8892,0
-14890.0820,-84722.4375,40.5951,-2.8022,28.1467,0
-14891.5059,-84722.8906,40.6150,-2.8015,25.5199,0
-14892.9355,-84723.4062,40.6374,-2.8015,27.2164,0
-14894.3496,-84723.8828,40.6569,-2.7993,27.1533,0
-14895.6172,-84724.3125,40.6856,-2.7965,24.2865,0
-14897.0508,-84724.8281,40.6953,-2.7954,24.3262,0
-14898.4297,-84725.3125,40.7261,-2.7948,27.5468,0
-14899.8555,-84725.8203,40.7499,-2.7947,26.3907,0
-14901.2363,-84726.2969,40.7612,-2.7947,26.1989,0
-14902.6846,-84726.7969,40.7717,-2.7950,27.0011,0
-14904.0938,-84727.3125,40.7852,-2.7948,29.5945,0
-14905.4463,-84727.7812,40.8006,-2.7946,25.9076,0
-14906.8516,-84728.2812,40.8269,-2.7936,25.3151,0
-14908.2744,-84728.7891,40.8350,-2.7912,26.2730,0
-14909.7695,-84729.3281,40.8417,-2.7892,29.8011,0
-14911.1572,-84729.8359,40.8652,-2.7878,26.7014,0
-14912.4541,-84730.3125,40.8901,-2.7862,25.5252,0
-14913.8369,-84730.7734,40.9074,-2.7939,25.9101,0
-14915.1973,-84731.2188,40.9092,-2.8282,26.5205,0
-14916.5547,-84731.7188,40.9138,-2.8347,25.1348,0
-14917.9463,-84732.1484,40.9358,-2.8221,23.6698,0
-14919.3037,-84732.5703,40.9527,-2.8170,26.0867,0
-14920.5869,-84733.0312,40.9622,-2.8083,26.3316,0
-14921.8877,-84733.4688,40.9696,-2.7982,23.8178,0
-14923.1729,-84733.8984,40.9763,-2.7878,24.6446,0
-14924.4463,-84734.3750,41.0068,-2.7768,24.7713,0
-14925.6738,-84734.8359,41.0197,-2.7698,23.6874,0
-14926.8945,-84735.3125,41.0199,-2.7685,23.3921,0
-14928.0967,-84735.7578,41.0258,-2.7682,22.7364,0
-14929.3174,-84736.2266,41.0488,-2.7678,23.2934,0
-14930.4961,-84736.6875,41.0604,-2.7649,22.1694,0
-14931.6729,-84737.1406,41.0611,-2.7609,22.3043,0
-14932.8418,-84737.5938,41.0761,-2.7564,22.8979,0
-14933.9404,-84738.0312,41.0957,-2.7514,20.8957,0
-14935.0801,-84738.4922,41.1037,-2.7468,21.2156,0
-14936.2305,-84738.9609,41.1105,-2.7421,22.6715,0
-14937.3428,-84739.4375,41.1293,-2.7378,21.5763,0
-14938.5312,-84739.9219,41.1473,-2.7336,23.5226,0
-14939.6533,-84740.4141,41.1686,-2.7284,22.1766,0
-14940.8271,-84740.9219,41.1911,-2.7225,23.1923,0
-14941.9902,-84741.4375,41.2064,-2.7160,23.5428,0
-14943.1865,-84741.9531,41.2278,-2.7101,22.9485,0
-14944.3838,-84742.5234,41.2423,-2.7042,24.3532,0
-14945.5986,-84743.0703,41.2535,-2.6985,23.9366,0
-14946.8203,-84743.6484,41.2779,-2.6927,24.0814,0
-14948.0479,-84744.2344,41.2928,-2.6872,25.0167,0
-14949.3018,-84744.8359,41.3233,-2.6815,24.8984,0
-14950.5801,-84745.4531,41.3492,-2.6765,25.8370,0
-14951.8252,-84746.0625,41.3676,-2.6713,24.8227,0
-14953.1162,-84746.7188,41.3864,-2.6638,25.6682,0
-14954.3984,-84747.3594,41.4083,-2.6554,26.0571,0
-14955.6699,-84748.0391,41.4213,-2.6486,26.3037,0
-14956.9766,-84748.7422,41.4560,-2.6421,27.1742,0
-14958.2627,-84749.4297,41.4886,-2.6348,26.5303,0
-14959.5693,-84750.1562,41.5031,-2.6283,26.5992,0
-14960.8877,-84750.8906,41.5267,-2.6222,27.0493,0
-14962.1660,-84751.6250,41.5588,-2.6174,26.9725,0
-14963.5225,-84752.3828,41.5642,-2.6129,28.1193,0
-14964.8682,-84753.1641,41.5606,-2.6074,28.3357,0
-14966.2012,-84753.9297,41.5863,-2.6020,28.1371,0
-14967.5596,-84754.7266,41.6069,-2.5950,28.1049,0
-14968.9209,-84755.5547,41.6340,-2.5892,28.5944,0
-14970.2666,-84756.3750,41.6568,-2.5838,28.2191,0
-14971.6367,-84757.2266,41.6912,-2.5786,29.6670,0
-14972.9951,-84758.0703,41.7180,-2.5711,28.9033,0
-14974.3574,-84758.9219,41.7361,-2.5641,29.4864,0
-14975.6953,-84759.7969,41.7714,-2.5602,29.1930,0
-14977.0791,-84760.7031,41.7927,-2.5554,30.8077,0
-14978.4336,-84761.6094,41.8166,-2.5496,29.0907,0
-14979.8574,-84762.5469,41.8262,-2.5434,30.0657,0
-14981.2275,-84763.4922,41.8281,-2.5370,29.2963,0
-14982.5830,-84764.4219,41.8570,-2.5294,29.8039,0
-14983.9766,-84765.3750,41.8986,-2.5244,30.4394,0
-14985.3340,-84766.3438,41.8661,-2.5157,31.0788,0
-14986.6738,-84767.3047,41.8309,-2.5104,29.5660,0
-14988.0684,-84768.3125,41.8378,-2.5048,30.5336,0
-14989.4199,-84769.3203,41.8439,-2.5013,31.3923,0
-14990.7803,-84770.3281,41.8835,-2.5005,31.1018,0
-14992.1543,-84771.3438,41.8763,-2.4989,29.8155,0
-14993.5332,-84772.3516,41.8631,-2.4975,30.1429,0
-14994.8877,-84773.3750,41.8660,-2.4955,30.9911,0
-14996.2422,-84774.3828,41.8610,-2.4905,30.4295,0
-14997.5654,-84775.3984,41.8539,-2.4861,30.3805,0
-14998.9111,-84776.4062,41.8513,-2.4809,29.9292,0
-15000.2373,-84777.4219,41.8263,-2.4749,30.5172,0
-15001.5303,-84778.4297,41.8056,-2.4678,29.4022,0
-15002.7998,-84779.4297,41.7899,-2.4606,28.3052,0
-15004.0713,-84780.4609,41.7757,-2.4539,29.0041,0
-15005.3418,-84781.5078,41.7429,-2.4465,29.3822,0
-15006.5840,-84782.5156,41.7114,-2.4404,29.1034,0
-15007.8262,-84783.5781,41.6959,-2.4343,29.7723,0
-15009.0205,-84784.5859,41.6728,-2.4282,28.3138,0
-15010.2197,-84785.6016,41.6436,-2.4228,27.4179,0
-15011.4434,-84786.6641,41.6212,-2.4170,28.0754,0
-15012.6182,-84787.7031,41.5926,-2.4117,28.3074,0
-15013.7842,-84788.7266,41.5592,-2.4063,28.3073,0
-15016.0918,-84790.8125,41.4794,-2.3953,27.9820,0
-15017.2402,-84791.8594,41.4535,-2.3886,26.9727,0
-15018.3945,-84792.9297,41.4061,-2.3812,27.7805,0
-15019.5176,-84793.9766,41.3739,-2.3739,26.9504,0
-15020.6387,-84795.0625,41.3214,-2.3678,28.5489,0
-15021.7451,-84796.1328,41.2754,-2.3618,27.9911,0
-15022.8330,-84797.2031,41.2349,-2.3559,27.3354,0
-15023.9209,-84798.2812,41.1853,-2.3500,26.6343,0
-15025.0234,-84799.3906,41.1374,-2.3444,27.5730,0
-15026.1104,-84800.4766,41.0986,-2.3385,27.7373,0
-15027.1934,-84801.5938,41.0503,-2.3328,28.6741,0
-15028.2656,-84802.7266,40.9980,-2.3278,28.5969,0
-15029.3457,-84803.8516,40.9293,-2.3233,28.4040,0
-15030.3955,-84804.9766,40.8792,-2.3194,27.4811,0
-15031.4883,-84806.1484,40.8367,-2.3161,28.6017,0
-15032.5742,-84807.3125,40.7955,-2.3125,28.5134,0
-15033.6523,-84808.4688,40.7251,-2.3088,28.8946,0
-15034.7432,-84809.6562,40.6678,-2.3045,29.3056,0
-15035.8496,-84810.8672,40.6085,-2.2991,30.5259,0
-15036.9277,-84812.0703,40.5354,-2.2943,29.7541,0
-15038.0078,-84813.2734,40.4657,-2.2893,30.1238,0
-15039.0801,-84814.5000,40.4069,-2.2846,29.0827,0
-15040.1436,-84815.7266,40.3299,-2.2808,27.7267,0
-15041.2480,-84817.0078,40.2497,-2.2799,29.3713,0
-15042.3340,-84818.2656,40.1862,-2.2780,29.5932,0
-15043.4521,-84819.5547,40.1060,-2.2769,31.4591,0
-15044.5791,-84820.8516,40.0327,-2.2759,32.6749,0
-15045.6875,-84822.1328,39.9527,-2.2746,30.6300,0
-15046.8125,-84823.4531,39.8590,-2.2729,31.1787,0
-15047.9375,-84824.7656,39.7829,-2.2717,30.7085,0
-15049.0566,-84826.0781,39.6970,-2.2721,30.7319,0
-15050.2139,-84827.4141,39.5876,-2.2722,32.0669,0
-15051.3633,-84828.7656,39.5148,-2.2726,32.7710,0
-15052.5156,-84830.1016,39.4322,-2.2737,31.8177,0
-15053.6719,-84831.4609,39.3581,-2.2743,32.0368,0
-15054.8301,-84832.8047,39.2569,-2.2751,32.0793,0
-15055.9775,-84834.1484,39.1674,-2.2759,32.0075,0
-15057.1631,-84835.5234,39.0853,-2.2768,31.8449,0
-15058.3359,-84836.8828,39.0076,-2.2772,31.8971,0
-15059.5303,-84838.2500,38.9168,-2.2774,31.7790,0
-15060.7188,-84839.6172,38.8447,-2.2744,31.8968,0
-15061.8975,-84841.0000,38.7571,-2.2720,32.9692,0
-15063.0527,-84842.3672,38.6804,-2.2701,32.4693,0
-15064.2236,-84843.7500,38.5902,-2.2704,34.0520,0
-15065.4111,-84845.1328,38.4924,-2.2698,33.7086,0
-15066.6025,-84846.5312,38.4086,-2.2680,33.9022,0
-15067.7764,-84847.9141,38.3381,-2.2659,32.3720,0
-15068.9502,-84849.3125,38.2394,-2.2632,33.1096,0
-15070.1367,-84850.7344,38.1577,-2.2602,33.1596,0
-15071.3135,-84852.1328,38.0886,-2.2548,32.1580,0
-15072.4854,-84853.5547,38.0097,-2.2501,33.3756,0
-15073.6318,-84854.9531,37.9274,-2.2452,31.6246,0
-15074.7754,-84856.3906,37.8507,-2.2405,30.9190,0
-15075.9229,-84857.8125,37.7749,-2.2362,30.5749,0
-15077.0928,-84859.2656,37.6874,-2.2252,32.3615,0
-15078.2197,-84860.7422,37.6218,-2.2154,32.5655,0
-15079.3252,-84862.1875,37.5601,-2.2070,32.4917,0
-15080.4326,-84863.6953,37.5060,-2.1995,33.0719,0
-15081.5156,-84865.1953,37.4505,-2.1953,33.4876,0
-15082.5840,-84866.6484,37.3874,-2.1936,32.1825,0
-15083.6680,-84868.1484,37.3217,-2.1941,34.1175,0
-15084.7305,-84869.6094,37.2577,-2.1968,33.0955,0
-15085.7881,-84871.0703,37.2084,-2.2017,32.1633,0
-15086.8730,-84872.5547,37.1833,-2.2069,33.0043,0
-15087.9609,-84873.9766,37.1337,-2.2122,31.8278,0
-15089.0312,-84875.3984,37.0811,-2.2187,31.4934,0
-15090.1055,-84876.7812,37.0224,-2.2249,31.7171,0
-15091.1758,-84878.1641,36.9749,-2.2317,31.3872,0
-15092.2256,-84879.4922,36.9251,-2.2386,30.3536,0
-15093.2715,-84880.8047,36.9006,-2.2457,29.6936,0
-15094.3516,-84882.1094,36.8698,-2.2524,30.2605,0
-15095.4014,-84883.3750,36.8247,-2.2573,29.1139,0
-15096.4727,-84884.6562,36.7843,-2.2604,29.5717,0
-15097.4941,-84885.8906,36.7512,-2.2642,28.6015,0
-15098.5674,-84887.1484,36.7017,-2.2677,29.6522,0
-15099.5830,-84888.3359,36.6697,-2.2712,27.5193,0
-15100.6191,-84889.5469,36.6339,-2.2734,28.7046,0
-15101.6426,-84890.7344,36.5975,-2.2748,28.4778,0
-15102.6338,-84891.8906,36.5685,-2.2760,26.4700,0
-15103.6348,-84893.0391,36.5252,-2.2774,27.3420,0
-15104.6211,-84894.1797,36.4880,-2.2774,26.6327,0
